Time (s),Pressure 1 (mmHg),Pressure 2 (mmHg),Flow Rate (mL/s),Heart Rate (BPM),Ventricle Temperature 1 (°C),Ventricle Temperature 2 (°C),Atrium Temperature (°C)
4.5458,76.89,30.11,130.0,60.0,25.75,24.56,24.25
4.5989,67.42,10.54,130.0,60.0,25.75,24.56,24.25
4.6522,65.84,10.86,130.0,60.0,25.75,24.56,24.25
4.7015,126.76,10.86,926.0,60.0,25.75,24.56,24.25
4.7547,146.65,10.86,923.0,60.0,25.75,24.56,24.25
4.8079,94.57,11.17,130.0,60.0,25.75,24.56,24.25
4.8611,93.94,11.17,924.0,60.0,25.75,24.56,24.25
4.9143,104.98,11.49,921.0,60.0,25.75,24.56,24.25
4.9637,115.08,11.49,922.0,60.0,25.75,24.56,24.25
5.0168,137.49,11.49,926.0,60.0,25.75,24.56,24.25
5.0699,108.77,32.01,130.0,60.0,25.75,24.56,24.25
5.1232,143.81,32.01,0.0,60.0,25.75,24.56,24.25
5.1725,97.41,32.01,131.0,60.0,25.75,24.56,24.25
5.2257,63.63,32.01,130.0,60.0,25.75,24.56,24.25
5.2788,84.15,32.01,0.0,60.0,25.75,24.56,24.25
5.3321,69.63,32.01,130.0,60.0,25.75,24.56,24.25
5.3814,94.57,32.01,0.0,60.0,25.75,24.56,24.25
5.4346,119.82,32.01,130.0,60.0,25.75,24.56,24.25
5.4879,120.77,32.01,130.0,60.0,25.75,24.56,24.25
5.5411,105.3,32.01,0.0,60.0,25.75,24.56,24.25
6.2046,119.5,30.74,131.0,60.0,25.75,24.56,24.19
6.2578,103.09,11.81,130.0,60.0,25.75,24.56,24.19
6.307,56.06,11.49,130.0,60.0,25.75,24.56,24.19
6.3602,72.16,11.49,925.0,60.0,25.75,24.56,24.19
6.4135,60.16,11.49,130.0,60.0,25.75,24.56,24.19
6.4667,55.74,11.81,130.0,60.0,25.75,24.56,24.19
6.5199,105.93,11.81,925.0,60.0,25.75,24.56,24.19
6.5731,114.45,11.81,130.0,60.0,25.75,24.56,24.19
