marker,dX,dY,dZ
1,0,14.68,-11.76
2,10.38,10.38,-11.76
3,14.68,0,-11.76
4,10.38,-10.38,-11.76
5,0,-14.68,-11.76
6,-10.38,-10.38,-11.76
7,-14.68,0,-11.76
8,-10.38,10.38,-11.76
9,0,12.72,-7.84
10,8.99,8.99,-7.84
11,12.72,0,-7.84
12,8.99,-8.99,-7.84
13,0,-12.72,-7.84
14,-8.99,-8.99,-7.84
15,-12.72,0,-7.84
16,-8.99,8.99,-7.84
17,0,10.8,-3.92
18,7.61,7.61,-3.92
19,10.76,0,-3.92
20,7.61,-7.61,-3.92
21,0,-10.76,-3.92
22,-7.61,-7.61,-3.92
23,-10.76,0,-3.92
24,-7.61,7.61,-3.92
25,0,8,0
26,5.66,5.66,0
27,8,0,0
28,5.66,-5.66,0
29,0,-8,0
30,-5.66,-5.66,0
31,-8,0,0
32,-5.66,5.66,0
33,0,4,0
34,2.83,2.83,0
35,4,0,0
36,2.83,-2.83,0
37,0,-4,0
38,-2.83,-2.83,0
39,-4,0,0
40,-2.83,2.83,0
41,0,0,0
cam0,-1.84,0,206.06
cam1,-64.63,0,181.65
cam0_optical_axis,-1.84,0,0
cam1_optical_axis,-0.87,0,0
